STATION,STNAME,SHORTNAME,GAUGE,DATUM,CATCHAREA,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION,FISHING,FISH
222205,SNOWY RIVER @ NEWMERELLA-LOCHEND ROAD,SNOWY @ NEWMERELLA,-0.479,ARB,13600.0,55,633887.775,5820634.951,MGA94,-37.751804,148.519811,GDA94,1,0.0,1,N,N,1,1960-03-01,,222,0,
222206,BUCHAN RIVER @ BUCHAN,BUCHAN @ BUCHAN,74.84999999999998,AHD,822.0,55,603711.0,5849459.0,UTM,-37.49584324,148.1732424,WGS84,9,90.0,9,Y,Y,1,1926-03-27,,222,0,
222209,SNOWY RIVER @ MCKILLOP BRIDGE,SNOWY @ MCKILLOP BR.,0.0,ARB,10619.0,55,625612.0,5894902.0,UTM,-37.08362756,148.4132551,WGS84,9,174.0,9,Y,Y,1,1941-03-01,,222,0,
222210,DEDDICK RIVER @ DEDDICK (CASEYS),DEDDICK @ DEDDICK,0.0,ARB,857.0,55,626577.7,5894693.7,UTM,-37.0853747,148.42415223,WGS84,9,0.0,1,Y,N,1,1964-03-26,,222,0,
222213,SUGGAN BUGGAN RIVER @ SUGGAN BUGGAN,S.BUGGAN @ SUGGAN,0.0,ARB,357.0,55,618048.0,5909278.0,UTM,-36.95505536,148.3259208,WGS84,9,0.0,1,Y,N,1,1957-07-24,,222,0,
222217,RODGER RIVER @ JACKSONS CROSSING,RODGER @ JACKSONS,0.0,ARB,447.0,55,620346.0,5858744.0,UTM,-37.41015604,148.3598666,WGS84,9,0.0,1,Y,Y,1,1976-06-03,,222,0,
222219,SNOWY RIVER @ D/S OF BASIN CREEK,SNOWY @ BASIN CRK,0.0,ARB,11964.0,55,612580.0,5848984.0,UTM,-37.49908473,148.2736248,WGS84,9,0.0,1,Y,Y,1,1978-12-12,,222,0,
222221,BUCHAN RIVER @ EGW OFFTAKE,BUCHAN R @ EGW O/T,0.0,,0.0,55,603874.0,5852271.0,UTM,-37.47048385,148.1746891,WGS84,,0.0,,y,N,1,2009-05-14,,222,0,
222222,ROCKY RIVER U/S OT THE WEIR,ROCKY RIVER U/S OT T,0.0,,0.0,55,645938.0,5834053.0,UTM,-37.62893922,148.6538508,WGS84,,0.0,,y,N,1,2009-03-11,,222,0,
223202,TAMBO RIVER @ SWIFTS CREEK,TAMBO @ SWIFTS CREEK,280.863,AHD,943.0,55,564619.0,5875047.0,UTM,-37.2687812,147.72881855,WGS84,9,305.0,1,Y,Y,1,1937-06-01,,223,1,"bream, luderick, flathead, mulloway"
223204,NICHOLSON RIVER @ DEPTFORD,NICHOLSON @ DEPTFORD,0.0,ARB,287.0,55,561543.0,5839104.0,UTM,-37.59294631,147.697124,WGS84,9,0.0,1,Y,Y,1,1961-05-12,,223,0,
223205,TAMBO RIVER @ D/S OF RAMROD CREEK,TAMBO @ DS RAMROD,15.452,AHD,2681.0,55,576710.0,5830147.0,UTM,-37.67253062,147.8698513,WGS84,9,0.0,1,Y,N,1,1965-06-09,,223,1,"bream, luderick, flathead, mulloway"
223209,TAMBO RIVER @ BATTENS LANDING,TAMBO @ BATTENS,0.0,ARB,2781.0,55,574796.1,5820757.9,UTM,-37.7573062,147.84911607,WGS84,9,0.0,1,Y,N,1,1977-01-26,,223,1,"bream, luderick, flathead, mulloway"
223210,NICHOLSON RIVER @ SARSFIELD,NICHOLSON @ SARSFIEL,0.0,ARB,471.0,55,562646.0,5823050.0,UTM,-37.73756155,147.7109962,WGS84,9,42.0,1,Y,Y,1,1977-09-21,,223,0,
223212,TIMBARRA RIVER @ D/S OF WILKINSON CREEK,TIMBARRA DS WILKINSO,0.0,ARB,438.0,55,594066.0,5855069.0,UTM,-37.44631843,148.0634337,WGS84,9,200.0,1,Y,N,1,1982-05-06,,223,0,
223214,TAMBO RIVER @ U/S OF SMITH CREEK,TAMBO @ U/S SMITH CK,0.0,ARB,32.0,55,582588.0,5909736.0,UTM,-36.95470656,147.92764,WGS84,9,950.0,1,Y,Y,1,1989-03-02,,223,1,"bream, luderick, flathead, mulloway"
223215,HAUNTED STREAM @ HELLS GATE,HAUNTED @ HELLS,153.892,AHD,180.0,55,573015.0,5851389.0,UTM,-37.48138705,147.82583885,WGS84,9,169.0,1,Y,N,1,1990-02-08,,223,0,
223217,NICHOLSON RIVER @ PUMP HOUSE,NICHOLSON R @ PUMP H,0.0,AHD,0.0,55,564088.0,5821594.0,UTM,-37.75058395,147.7274893,GDA94,,0.0,,y,N,1,2011-01-20,,223,0,
223802,RAINGAUGE @ MOUNT ELIZABETH SOMMERVILLE TRACK,RG MT ELIZABETH TRK,,,,55,580733.0,5851999.0,UTM,-37.47524703,147.913057,GDA94,,0.0,,N,N,1,2011-01-19,,223,0,
224200,MITCHELL RIVER @ BAIRNSDALE,MITCHELL @ BAIRNS,0.0,ARB,4425.0,55,552241.0,5813267.0,UTM,-37.82638609,147.59361654,WGS84,9,0.0,1,Y,N,1,1889-04-01,,224,1,bream
224201,WONNANGATTA RIVER @ WATERFORD,WATERFORD,175.337,AHD,1979.0,55,514714.0,5850745.0,UTM,-37.48996086,147.1664437,WGS84,9,183.0,9,n,N,1,1922-03-24,,224,0,
224203,MITCHELL RIVER @ GLENALADALE,MITCHELL GLENALADALE,28.951,AHD,3903.0,55,533010.0,5820334.0,UTM,-37.76358991,147.3747776,WGS84,9,0.0,1,Y,Y,1,1937-08-07,,224,1,bream
224206,WONNANGATTA RIVER @ CROOKED RIVER,WONNANGATTA @CROOKED,240.829,AHD,1096.0,55,507891.0,5859903.0,UTM,-37.4074969,147.08916452,WGS84,9,0.0,1,Y,Y,1,1953-05-07,,224,0,
224213,DARGO RIVER @ LOWER DARGO ROAD,DARGO @ L DARGO RD,172.824,AHD,676.0,55,523752.0,5850152.0,UTM,-37.49511762,147.2686992,WGS84,9,0.0,1,Y,Y,1,1973-05-24,,224,0,
224214,WENTWORTH RIVER @ TABBERABBERA,WENTWORTH @TABBERA'A,0.0,ARB,443.0,55,534808.0,5850099.0,UTM,-37.49524466,147.3937727,WGS84,9,0.0,1,Y,N,1,1974-07-04,,224,0,
224217,MITCHELL RIVER @ ROSEHILL,MITCHELL @ ROSEHILL,0.0,ARB,4413.0,55,550366.0,5814542.0,UTM,-37.81500036,147.57222312,WGS84,9,27.0,1,Y,Y,1,1976-10-29,,224,1,bream
224220,RAIN GAUGE (BOGGY CREEK) @ BULLUMWAAL,RG @ BULLUMWAAL,178.885,AHD,83.0,55,548565.5,5830013.3,UTM,-37.67565758,147.55073373,WGS84,9,0.0,1,n,N,1,1991-02-26,,224,0,
224222,MITCHELL RIVER U/S GLENALADALE PUMPHOUSE,MITCHELL R GLENA. PS,0.0,ARB,0.0,55,532443.0,5823351.0,UTM,-37.73655,147.3682,WGS84,,0.0,,y,N,1,2009-12-18,,224,1,bream
225114,THOMSON RIVER @ D/S WHITELAWS CREEK,THOMSON R WHITELAWS,0.0,,155.3,55,436711.0,5825795.0,UTM,-37.71277777,146.2819456,WGS84,9,0.0,1,N,Y,1,1987-03-27,,225,0,
225201,AVON RIVER @ STRATFORD,AVON @ STRATFORD,6.479,AHD,1485.0,55,506676.0,5797653.0,UTM,-37.9685868,147.0760061,WGS84,9,12.0,9,Y,Y,1,1976-11-01,,225,0,
225209,MACALISTER RIVER @ LICOLA,MACALISTER @ LICOLA,2.0,AHD,1233.0,55,466762.0,5835198.0,UTM,-37.62961037,146.6233123,WGS84,9,0.0,1,Y,Y,1,1952-08-01,,225,0,
225210,THOMSON RIVER @ THE NARROWS,THOMSON @ NARROWS,247.08,AHD,518.0,55,447491.263,5806094.894,UTM,-37.89101,146.40282,WGS84,9,0.0,1,N,Y,1,1953-06-11,,225,1,mulloway
225212,THOMSON RIVER @ WANDOCKA,THOMSON @ WANDOCKA,19.423,AHD,1417.0,55,489554.0,5792978.0,UTM,-38.01068638,146.8810046,WGS84,9,0.0,1,Y,Y,1,1963-03-29,,225,0,
225213,ABERFELDY RIVER @ BEARDMORE,ABERFELDY @BEARDMORE,305.552,AHD,311.0,55,450135.0,5810238.0,UTM,-37.85381845,146.4331719,WGS84,9,336.0,1,Y,Y,1,1963-06-27,,225,0,
225218,FREESTONE CREEK @ BRIAGALONG,FREESTONE CREEK,63.238,AHD,309.0,55,508366.4,5815232.8,,-37.8101256,147.09504730000003,,,78.0,1,Y,Y,1,1967-04-12,,225,0,
225219,MACALISTER RIVER @ GLENCAIRN,MACALISTER @ GLEN,293.54,AHD,570.0,55,461689.0,5847757.0,UTM,-37.51621523,146.56647790000002,WGS84,9,0.0,1,Y,N,1,1967-04-07,,225,0,
225223,VALENCIA CREEK @ GILLIO ROAD,VALENCIA @ GILLIO RD,85.48099999999998,AHD,195.0,55,499321.0,5822633.0,UTM,-37.74346413,146.9922931,WGS84,9,99.0,1,Y,Y,1,1971-09-06,,225,0,
225224,AVON RIVER @ THE CHANNEL,AVON @ CHANNEL,72.0,AHD,554.0,55,489868.0,5816150.0,UTM,-37.80184085,146.8849073,WGS84,9,96.0,1,Y,Y,1,1972-07-12,,225,0,
225231,THOMSON RIVER @ U/S OF COWWARR WEIR,THOM. @U/S COWWARR W,69.4,AHD,1080.0,55,467065.0,5796878.0,UTM,-37.97499864,146.62500398,WGS84,9,0.0,1,Y,Y,1,1976-04-01,,225,0,
225232,THOMSON RIVER @ BUNDALAGUAH,THOMSON @ BUNDALAGUA,5.094,AHD,3538.0,55,499308.0,5789148.0,UTM,-38.04526544,146.9921134,WGS84,9,20.0,9,Y,Y,1,1976-11-03,,225,0,
225234,AVON RIVER @ CLYDEBANK (CHINN'S BRIDGE),AVON R @ CHINN'S BR,-0.21,ARB,1584.0,55,515238.0,5791515.0,UTM,-38.0238042,147.17361430000003,WGS84,9,5.0,9,Y,Y,1,1977-05-05,,225,0,
225247,MACALISTER RIVER @ RIVERSLEA,MACALISTER RIVERSLEA,0.0,GAU,0.0,55,498044.5,5791335.7,MGA94,-38.02567825,146.97771934,GDA94,1,19.0,1,Y,Y,1,1996-12-16,,225,0,
225801,RAIN GAUGE (MACALISTER RIVER) @ MURDERERS HILL,RG @ MURDERERS HILL,0.0,,0.0,55,460964.0,5810725.0,UTM,-37.84995739,146.55629030000003,WGS84,9,738.0,1,Y,N,1,1970-06-08,,225,0,
225802,RAIN GAUGE (MACALISTER RIVER) @ MOUNT TAMBORITHA,RG @ MT. TAMBORITHA,0.0,,0.0,55,472550.0,5853466.0,UTM,-37.46514422,146.6895905,WGS84,9,1380.0,1,Y,N,1,1986-04-01,,225,0,
225809,RAIN GAUGE (AVON RIVER) @ MOUNT WELLINGTON,RG @ MT WELLINGTON,0.0,,0.0,55,487412.0,5850069.0,UTM,-37.4960855,146.8575938,WGS84,9,1544.0,1,Y,N,1,1997-05-21,,225,0,
225810,RAIN GAUGE (AVON RIVER) @ REEVE KNOB,RG @ REEVE KNOB,0.0,,0.0,55,500533.2,5846182.0,UTM,-37.53120709,147.00603484,WGS84,9,1265.0,1,Y,N,1,1997-05-21,,225,0,
225819,RAINGAUGE @ MT USEFUL,R.G. @ MT USEFUL,0.0,,0.0,55,456353.0,5827872.0,UTM,-37.6952044,146.5049119,WGS84,9,0.0,0,n,N,1,2002-05-27,,225,0,
225823,RAINGAUGE @ BLANKET HILL,R.G. BLANKET HILL,,,,55,472533.6,5811892.1,UTM,-37.83986,146.68784,GDA94,,0.0,,N,N,1,2010-07-26,,225,0,
225824,RAINGAUGE (MACALISTER RV) @ SNOWY RANGE,RG AT SNOWY RANGE,,,,55,475045.0,5873295.0,AMG66,-37.286482,146.7184729,AGD66,9,1638.0,1,N,N,1,2011-02-22,,225,0,
225825,RAINGAUGE (MACALISTER RV) @ HIGH RIDGE,RG AT HIGH RIDGE,,,,55,464837.103209193,5880051.101958756,UTM,-37.225254,146.603635,AGD66,9,1587.0,1,N,N,1,2011-04-06,,225,0,
225826,RAINGAUGE (MACALISTER RV) @ MOUNT SUNDAY,RG AT MT SUNDAY,,,,55,448995.0,5867264.0,MGA94,-37.33990803,146.4241852,GDA94,,0.0,,N,N,1,2011-04-06,,225,0,
226005,LATROBE RIVER @ THOMS BRIDGE,LATROBE @ THOMS,0.0,ARB,2657.0,55,448290.419,5775501.723,UTM,-38.166772,146.4097,WGS84,9,0.0,1,Y,N,1,1960-05-24,,226,0,
226007,TYERS RIVER @ BROWNS,TYERS @ BROWNS,169.359,AHD,207.0,55,443476.0,5788600.0,UTM,-38.04843951,146.35578069999997,WGS84,9,0.0,1,Y,Y,1,1961-08-17,,226,0,
226008,TYERS RIVER WEST BRANCH @ MORGANS MILL,TYERS @ MORGANS MILL,0.0,,80.0,55,439256.0,5800120.0,UTM,-37.94434539,146.3086626,WGS84,9,0.0,1,Y,Y,1,1960-04-27,,226,0,
226017,JACOBS CREEK @ O'TOOLES,JACOBS @ O'TOOLES,0.0,,36.0,55,446350.0,5788246.0,UTM,-38.0518048,146.3885082,WGS84,9,0.0,1,Y,Y,1,1962-04-16,,226,0,
226021,NARRACAN CREEK @ MOE,NARRACAN CK @ MOE,0.0,ARB,0.0,55,435969.0,5775832.0,UTM,-38.16300439,146.2690819,WGS84,9,0.0,1,Y,N,1,1996-06-26,,226,0,
226023,TRARALGON CREEK @ TRARALGON,TRARALGON CK,32.673,AHD,189.0,55,460064.0,5772541.0,UTM,-38.19405359,146.5439326,WGS84,9,32.673,1,Y,N,1,1960-10-13,,226,0,
226027,LA TROBE RIVER @ SWING BRIDGE,LA TROBE RV SWING BR,0.0,AHD,0.0,55,511200.0,5778084.0,AMG84,-38.144912921999996,147.127817965,WGS84,,0.0,,N,N,1,2010-05-07,,226,0,
226028,TYERS R @ PUMP HOUSE,TYERS R @ PUMP HOUSE,0.0,,0.0,55,451503.0,5778560.0,UTM,-38.13938877,146.4465805,WGS84,9,0.0,1,N,Y,1,1990-04-12,,226,0,
226041,LAKE WELLINGTON @ BULL BAY,LAKE WELLINGTON,0.0,AHD,0.0,55,532876.0,5780415.0,UTM,-38.1233752,147.3750806,WGS84,9,0.0,1,Y,N,1,1975-03-19,,226,0,
226204,LATROBE RIVER @ WILLOW GROVE,LATROBE @ WILLOW GVE,0.0,ARB,580.0,55,426308.0,5784017.0,UTM,-38.08850552,146.1596572,WGS84,9,80.0,9,Y,Y,1,1924-10-23,,226,0,
226205,LATROBE RIVER @ NOOJEE,LATROBE @ NOOJEE,0.0,ARB,290.0,55,414035.0,5804037.0,UTM,-37.90701017,146.0221188,WGS84,9,238.0,9,Y,N,1,1925-05-13,,226,0,
226209,MOE RIVER @ DARNUM,MOE R @ DARNUM,79.598,AHD,225.0,55,412633.0,5770880.0,UTM,-38.20566815,146.0021236,WGS84,9,91.0,9,Y,Y,1,1949-09-12,,226,0,
226216,TANJIL RIVER @ TANJIL SOUTH,TANJIL @TANJIL SOUTH,69.245,AHD,358.0,55,433560.0,5783395.0,UTM,-38.09467319,146.2422901,WGS84,9,81.0,9,Y,Y,1,1955-04-05,,226,0,
226218,NARRACAN CREEK @ THORPDALE,NARRACAN @ THORPDALE,0.0,ARB,66.0,55,428843.0,5763687.0,UTM,-38.27191618,146.18652769999997,WGS84,9,224.0,1,Y,N,1,1955-06-22,,226,0,
226220,LOCH RIVER @ NOOJEE,LOCH RIVER,0.0,ARB,106.0,55,412644.0,5808497.0,UTM,-37.86668554,146.00683792,WGS84,9,262.0,9,Y,N,1,1957-03-06,,226,0,
226222,LATROBE RIVER @ NEAR NOOJEE (US ADA R JUNCT.),LATROBE U/S ADA R,272.304,AHD,62.0,55,402650.0,5806658.0,UTM,-37.8822443,145.8929853,WGS84,9,310.0,9,Y,Y,1,1971-05-10,,226,0,
226224,LATROBE RIVER @ ROSEDALE (ANABRANCH),LATROBE @ ROSEDALE,9.7,AHD,4144.0,55,481555.0,5777709.0,UTM,-38.14817357,146.7894905,WGS84,9,0.0,1,Y,N,1,1936-12-01,,226,0,
226226,TANJIL RIVER @ TANJIL JUNCTION,TANJIL @ TANJIL JUNC,0.0,ARB,289.0,55,429155.0,5796100.0,UTM,-37.97984217,146.193315,WGS84,9,200.0,9,Y,Y,1,1960-05-25,,226,0,
226227,LATROBE RIVER @ KILMANY SOUTH,LATROBE @ KILMANY S.,2.571,AHD,4464.0,55,492900.0,5778721.0,UTM,-38.13921347,146.9189788,WGS84,9,0.0,1,Y,Y,1,1976-12-16,,226,0,
226228,LATROBE RIVER @ ROSEDALE (MAIN STREAM),LATROBE @ ROSEDALE,9.7,AHD,4144.0,55,481748.0,5778351.0,UTM,-38.14239142,146.7917096,WGS84,9,0.0,1,Y,Y,1,1936-12-01,,226,0,
226235,TYERS RIVER @ TYERS JUNCTION,TYERS R @ TYERS JUC,0.0,ARB,132.2,55,441506.0,5798197.0,UTM,-37.96182377,146.3341122,WGS84,9,0.0,0,Y,Y,1,2001-10-05,,226,0,
226253,TRIGGER CREEK @ GIPPSLAND WATER SYPHON,TRIGGER CK GW SYPHON,,,,55,444493.06,5804752.899,MGA94,-37.90305833,146.36861667,GDA94,,0.0,,y,N,1,2016-05-30,,226,0,
226402,MOE DRAIN @ TRAFALGAR EAST,MOE @ TRAFALGAR,0.0,GAU,622.0,55,431070.0,5774351.0,UTM,-38.17598946,146.2130207,WGS84,9,57.0,9,Y,Y,1,1957-06-07,,226,0,
226406,LITTLE MORWELL ROVER @ BOOLARRA,LTL MORWELL@BOOLARRA,,,,55,434351.51,5751184.856,,-38.385,146.248333333,,,0.0,,N,N,1,,,226,0,
226407,MORWELL RIVER @ BOOLARRA,MORWELL @ BOOLARRA,98.302,AHD,114.0,55,439351.0,5748787.0,UTM,-38.40696156,146.3053661,WGS84,9,0.0,1,Y,N,1,1958-10-06,,226,0,
226408,MORWELL R @ YALLOURN,MORWELL R YALLOURN,0.0,ARB,622.0,55,444702.0,5770110.4,UTM,-38.215146,146.368318,WGS84,9,47.0,9,N,Y,1,1943-02-09,,226,0,
226410,TRARALGON CREEK @ KOORNALLA,TRARALGON @ KOORNALL,0.0,ARB,89.0,55,459050.0,5758231.0,UTM,-38.32297218,146.53152580000003,WGS84,9,94.0,1,Y,N,1,1953-07-09,,226,0,
226415,TRARALGON CREEK @ TRARALGON SOUTH (JONES RD),TRARALGON C JONES RD,60.0,AHD,128.0,55,459805.0,5764127.0,UTM,-38.2698709,146.5404981,WGS84,9,68.0,1,Y,N,1,1974-06-04,,226,0,
226602,AREA 2 SITE1 @ DOWDS MORASS NTH,DOWDS MORASS AREA2,-0.016,AHD,0.0,55,516003.73,5777730.39,UTM,-38.148027419,147.182647389,WGS84,9,0.0,0,N,N,1,2003-06-17,,226,0,
226605,LAKE VICTORIA @ MCLENNAN'S STRAIT,L VICTORIA MCLENNANS,0.0,AHD,0.0,55,540395.663,5788012.275,UTM,-38.0546,147.46044,WGS84,,0.0,,N,N,1,2010-11-17,,226,0,
226606,LAKE VICTORIA @ LOCH SPORT,L VICTORIA LOCHSPORT,0.0,,0.0,55,551177.0,5789006.0,UTM,-38.04509867,147.5832521,GDA94,,0.0,,N,N,1,2010-11-26,,226,0,
226607,MCMILLAN STRAIT @ PAYNESVILLE,MCMILLAN STRAIT PAYN,0.0,AHD,0.0,55,564019.0,5803744.2,UTM,-37.91159,147.72829,GDA94,,0.0,,N,N,1,2010-10-21,,226,1,"flathead, bream"
226608,LAKE KING @ METUNG,LK KING AT METUNG,0.0,AHD,0.0,55,576509.0,5807127.8,MGA94,-37.88,147.87,WGS84,,0.0,,N,N,1,2010-11-17,,226,0,
226609,CUNNINGHAM ARM @ BULLOCK ISLAND,C'GHAM @ BULLOCK ISL,-1.0,AHD,0.0,55,585591.0,5806582.2,UTM,-37.88424,147.97333,GDA94,,0.0,,N,N,1,2010-10-19,,226,1,"Australian salmon, tailor, bream, luderick"
226611,HEART MORASS @ RICKETY BRIDGE,HEART MORASS RICKETY,,,,55,515736.24,5779439.3,AMG84,-38.13263039,147.179556845,AGD84,9,0.0,,N,N,1,2017-02-21,,226,0,
226814,RAIN GAUGE @ MT TASSIE,R.G. MT TASSIE,0.0,,0.0,55,461784.0,5750077.0,UTM,-38.3965772,146.5623601,WGS84,9,0.0,0,Y,N,1,1998-05-04,,226,0,
226815,RAIN GAUGE (TRARALGON CK) @ TRARALGON - EPA YARD,R.G.TRARALGON,0.0,,0.0,55,458982.0,5772514.0,UTM,-38.19424828,146.531575,WGS84,9,0.0,0,Y,N,1,1999-05-25,,226,0,
226818,RAIN GAUGE @ BALOOK,R.G. BALOOK,0.0,,0.0,55,459952.0,5746341.0,UTM,-38.43016562,146.5411682,WGS84,9,0.0,0,Y,N,1,1999-06-10,,226,0,
226819,RAIN GAUGE @ CALIGNEE NORTH,R.G.CALIGNEE NTH,0.0,,0.0,55,462063.0,5758780.0,UTM,-38.31815714,146.5660235,WGS84,9,0.0,0,Y,N,1,1999-05-25,,226,0,
226825,RAINGAUGE @ MOE SOUTH,RG AT MOE STH,,,,55,434231.7,5769648.9,AMG66,-38.2186,146.24868,AGD66,,0.0,,N,N,1,2009-10-06,,226,0,
226826,RAINGAUGE @ YARRAGON SOUTH,RG AT YARRAGON SOUTH,,,,55,420511.0,5763367.1,UTM,-38.2741,146.09125,WGS84,,382.0,,N,N,1,2009-10-21,,226,0,
226827,RAINGAUGE @ THORPDALE PEAK,RG AT THORPDALE PK,,,,55,431275.0,5760002.4,AMG66,-38.30531,146.21397,AGD66,,364.0,,N,N,1,2009-09-17,,226,0,
226829,RAINGAUGE @ JERRALANG DOBBINS ROAD,RG @ JERRALANG DOBBI,,,,55,450883.6,5754699.5,MGA94,-38.35452052,146.43785576,GDA94,,510.0,,N,N,1,2013-01-29,,226,0,
227200,TARRA RIVER @ YARRAM,TARRA @ YARRAM,0.0,ARB,218.0,55,472361.771,5732988.992,UTM,-38.550964,146.682818,WGS84,9,35.0,1,Y,Y,1,1946-03-01,,227,0,
227202,TARWIN RIVER @ MEENIYAN,TARWIN @ MEENIYAN,0.0,ARB,1067.0,55,412165.0,5729150.0,UTM,-38.58164621,145.9915693,WGS84,9,25.0,9,Y,Y,1,1955-06-22,,227,1,"estuary, perch, bream"
227205,MERRIMAN CREEK @ CALIGNEE SOUTH,MERRIMAN @ CALLIGNEE,172.448,AHD,36.0,55,469833.0,5755048.0,UTM,-38.35208581,146.6547464,WGS84,9,200.0,1,Y,N,1,1946-12-06,,227,0,
227210,BRUTHEN CREEK @ CARRAJUNG LOWER,BRUTHEN @ CARRAJUNG,0.0,AHD,18.0,55,477651.0,5750309.0,UTM,-38.39502395,146.74407,WGS84,9,159.0,1,Y,N,1,1952-09-05,,227,0,
227211,AGNES RIVER @ TOORA,AGNES @ TOORA,0.0,ARB,67.0,55,445387.0,5722973.0,UTM,-38.6399743,146.3724776,WGS84,9,142.0,9,Y,Y,1,1952-09-05,,227,0,
227213,JACK RIVER @ JACK RIVER,JACK R @ JACK R,0.0,ARB,34.0,55,459739.0,5735728.0,UTM,-38.52579869,146.538118,WGS84,9,70.0,1,Y,N,1,1960-10-01,,227,0,
227219,BASS RIVER @ LOCH,BASS @ LOCH,0.0,ARB,52.0,55,388609.0,5753722.0,UTM,-38.35761263,145.7250841,WGS84,9,98.0,9,Y,N,1,1966-04-01,,227,1,"bream, estuary perch, mullet"
227225,TARRA RIVER @ FISCHERS,TARRA R @ FISCHERS,0.0,ARB,16.0,55,461190.0,5741983.0,UTM,-38.46949417,146.5551106,WGS84,9,195.0,1,Y,N,1,1968-04-24,,227,0,
