STATION,STNAME,SHORTNAME,GAUGE,DATUM,CATCHAREA,ZONE,EASTING,NORTHING,GRDATUM,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVACC,FIELD,LAB,ACTIVE,COMMENCED,CEASED,REGION
223802,RAINGAUGE @ MOUNT ELIZABETH SOMMERVILLE TRACK,RG MT ELIZABETH TRK,,,,55,580733,5851999,UTM,-37.475247029999998,147.91305700000001,GDA94,,0,,N,N,1,2011-01-19,,223
224200,MITCHELL RIVER @ BAIRNSDALE,MITCHELL @ BAIRNS,0,ARB,4425,55,552241,5813267,UTM,-37.82638609,147.59361654,WGS84,9,0,1,Y,N,1,1889-04-01,,224
224201,WONNANGATTA RIVER @ WATERFORD,WATERFORD,175.33699999999999,AHD,1979,55,514714,5850745,UTM,-37.489960859999997,147.1664437,WGS84,9,183,9,n,N,1,1922-03-24,,224
224203,MITCHELL RIVER @ GLENALADALE,MITCHELL GLENALADALE,28.951000000000001,AHD,3903,55,533010,5820334,UTM,-37.76358991,147.37477759999999,WGS84,9,0,1,Y,Y,1,1937-08-07,,224
224206,WONNANGATTA RIVER @ CROOKED RIVER,WONNANGATTA @CROOKED,240.82900000000001,AHD,1096,55,507891,5859903,UTM,-37.407496899999998,147.08916452,WGS84,9,0,1,Y,Y,1,1953-05-07,,224
224213,DARGO RIVER @ LOWER DARGO ROAD,DARGO @ L DARGO RD,172.82400000000001,AHD,676,55,523752,5850152,UTM,-37.495117620000002,147.26869919999999,WGS84,9,0,1,Y,Y,1,1973-05-24,,224
224214,WENTWORTH RIVER @ TABBERABBERA,WENTWORTH @TABBERA'A,0,ARB,443,55,534808,5850099,UTM,-37.495244659999997,147.3937727,WGS84,9,0,1,Y,N,1,1974-07-04,,224
224217,MITCHELL RIVER @ ROSEHILL,MITCHELL @ ROSEHILL,0,ARB,4413,55,550366,5814542,UTM,-37.815000359999999,147.57222311999999,WGS84,9,27,1,Y,Y,1,1976-10-29,,224
224220,RAIN GAUGE (BOGGY CREEK) @ BULLUMWAAL,RG @ BULLUMWAAL,178.88499999999999,AHD,83,55,548565.5,5830013.2999999998,UTM,-37.675657579999999,147.55073372999999,WGS84,9,0,1,n,N,1,1991-02-26,,224
224222,MITCHELL RIVER U/S GLENALADALE PUMPHOUSE,MITCHELL R GLENA. PS,0,ARB,0,55,532443,5823351,UTM,-37.736550000000001,147.3682,WGS84,,0,,y,N,1,2009-12-18,,224
225114,THOMSON RIVER @ D/S WHITELAWS CREEK,THOMSON R WHITELAWS,0,,155.30000000000001,55,436711,5825795,UTM,-37.712777770000002,146.2819456,WGS84,9,0,1,N,Y,1,1987-03-27,,225
225201,AVON RIVER @ STRATFORD,AVON @ STRATFORD,6.4790000000000001,AHD,1485,55,506676,5797653,UTM,-37.968586799999997,147.0760061,WGS84,9,12,9,Y,Y,1,1976-11-01,,225
225209,MACALISTER RIVER @ LICOLA,MACALISTER @ LICOLA,2,AHD,1233,55,466762,5835198,UTM,-37.629610370000002,146.62331230000001,WGS84,9,0,1,Y,Y,1,1952-08-01,,225
225210,THOMSON RIVER @ THE NARROWS,THOMSON @ NARROWS,247.08000000000001,AHD,518,55,447491.26299999998,5806094.8940000003,UTM,-37.891010000000001,146.40281999999999,WGS84,9,0,1,N,Y,1,1953-06-11,,225
225212,THOMSON RIVER @ WANDOCKA,THOMSON @ WANDOCKA,19.422999999999998,AHD,1417,55,489554,5792978,UTM,-38.010686380000003,146.88100460000001,WGS84,9,0,1,Y,Y,1,1963-03-29,,225
225213,ABERFELDY RIVER @ BEARDMORE,ABERFELDY @BEARDMORE,305.55200000000002,AHD,311,55,450135,5810238,UTM,-37.853818449999999,146.43317189999999,WGS84,9,336,1,Y,Y,1,1963-06-27,,225
225218,FREESTONE CREEK @ BRIAGALONG,FREESTONE CREEK,63.238,AHD,309,55,508366.40000000002,5815232.7999999998,,-37.810125599999999,147.0950473,,,78,1,Y,Y,1,1967-04-12,,225
225219,MACALISTER RIVER @ GLENCAIRN,MACALISTER @ GLEN,293.54000000000002,AHD,570,55,461689,5847757,UTM,-37.51621523,146.5664779,WGS84,9,0,1,Y,N,1,1967-04-07,,225
225223,VALENCIA CREEK @ GILLIO ROAD,VALENCIA @ GILLIO RD,85.480999999999995,AHD,195,55,499321,5822633,UTM,-37.74346413,146.99229310000001,WGS84,9,99,1,Y,Y,1,1971-09-06,,225
225224,AVON RIVER @ THE CHANNEL,AVON @ CHANNEL,72,AHD,554,55,489868,5816150,UTM,-37.801840849999998,146.88490730000001,WGS84,9,96,1,Y,Y,1,1972-07-12,,225
225231,THOMSON RIVER @ U/S OF COWWARR WEIR,THOM. @U/S COWWARR W,69.400000000000006,AHD,1080,55,467065,5796878,UTM,-37.974998640000003,146.62500398,WGS84,9,0,1,Y,Y,1,1976-04-01,,225
225232,THOMSON RIVER @ BUNDALAGUAH,THOMSON @ BUNDALAGUA,5.0940000000000003,AHD,3538,55,499308,5789148,UTM,-38.045265440000001,146.99211339999999,WGS84,9,20,9,Y,Y,1,1976-11-03,,225
225234,AVON RIVER @ CLYDEBANK (CHINN'S BRIDGE),AVON R @ CHINN'S BR,-0.20999999999999999,ARB,1584,55,515238,5791515,UTM,-38.023804200000001,147.1736143,WGS84,9,5,9,Y,Y,1,1977-05-05,,225
225247,MACALISTER RIVER @ RIVERSLEA,MACALISTER RIVERSLEA,0,GAU,0,55,498044.5,5791335.7000000002,MGA94,-38.025678249999999,146.97771933999999,GDA94,1,19,1,Y,Y,1,1996-12-16,,225
225801,RAIN GAUGE (MACALISTER RIVER) @ MURDERERS HILL,RG @ MURDERERS HILL,0,,0,55,460964,5810725,UTM,-37.84995739,146.5562903,WGS84,9,738,1,Y,N,1,1970-06-08,,225
225802,RAIN GAUGE (MACALISTER RIVER) @ MOUNT TAMBORITHA,RG @ MT. TAMBORITHA,0,,0,55,472550,5853466,UTM,-37.465144219999999,146.68959050000001,WGS84,9,1380,1,Y,N,1,1986-04-01,,225
225809,RAIN GAUGE (AVON RIVER) @ MOUNT WELLINGTON,RG @ MT WELLINGTON,0,,0,55,487412,5850069,UTM,-37.4960855,146.85759379999999,WGS84,9,1544,1,Y,N,1,1997-05-21,,225
225810,RAIN GAUGE (AVON RIVER) @ REEVE KNOB,RG @ REEVE KNOB,0,,0,55,500533.20000000001,5846182,UTM,-37.531207090000002,147.00603484000001,WGS84,9,1265,1,Y,N,1,1997-05-21,,225
225819,RAINGAUGE @ MT USEFUL,R.G. @ MT USEFUL,0,,0,55,456353,5827872,UTM,-37.695204400000001,146.5049119,WGS84,9,0,0,n,N,1,2002-05-27,,225
225823,RAINGAUGE @ BLANKET HILL,R.G. BLANKET HILL,,,,55,472533.59999999998,5811892.0999999996,UTM,-37.839860000000002,146.68783999999999,GDA94,,0,,N,N,1,2010-07-26,,225
225824,RAINGAUGE (MACALISTER RV) @ SNOWY RANGE,RG AT SNOWY RANGE,,,,55,475045,5873295,AMG66,-37.286481999999999,146.71847289999999,AGD66,9,1638,1,N,N,1,2011-02-22,,225
225825,RAINGAUGE (MACALISTER RV) @ HIGH RIDGE,RG AT HIGH RIDGE,,,,55,464837.10320919298,5880051.1019587573,UTM,-37.225254,146.603635,AGD66,9,1587,1,N,N,1,2011-04-06,,225
225826,RAINGAUGE (MACALISTER RV) @ MOUNT SUNDAY,RG AT MT SUNDAY,,,,55,448995,5867264,MGA94,-37.339908029999997,146.42418520000001,GDA94,,0,,N,N,1,2011-04-06,,225
226005,LATROBE RIVER @ THOMS BRIDGE,LATROBE @ THOMS,0,ARB,2657,55,448290.41899999999,5775501.7230000002,UTM,-38.166772000000002,146.40969999999999,WGS84,9,0,1,Y,N,1,1960-05-24,,226
226007,TYERS RIVER @ BROWNS,TYERS @ BROWNS,169.35900000000001,AHD,207,55,443476,5788600,UTM,-38.048439510000001,146.3557807,WGS84,9,0,1,Y,Y,1,1961-08-17,,226
226008,TYERS RIVER WEST BRANCH @ MORGANS MILL,TYERS @ MORGANS MILL,0,,80,55,439256,5800120,UTM,-37.944345390000002,146.30866259999999,WGS84,9,0,1,Y,Y,1,1960-04-27,,226
226017,JACOBS CREEK @ O'TOOLES,JACOBS @ O'TOOLES,0,,36,55,446350,5788246,UTM,-38.051804799999999,146.38850819999999,WGS84,9,0,1,Y,Y,1,1962-04-16,,226
226021,NARRACAN CREEK @ MOE,NARRACAN CK @ MOE,0,ARB,0,55,435969,5775832,UTM,-38.163004389999998,146.2690819,WGS84,9,0,1,Y,N,1,1996-06-26,,226
226023,TRARALGON CREEK @ TRARALGON,TRARALGON CK,32.673000000000002,AHD,189,55,460064,5772541,UTM,-38.194053590000003,146.54393260000001,WGS84,9,32.673000000000002,1,Y,N,1,1960-10-13,,226
226027,LA TROBE RIVER @ SWING BRIDGE,LA TROBE RV SWING BR,0,AHD,0,55,511200,5778084,AMG84,-38.144912922000003,147.12781796499999,WGS84,,0,,N,N,1,2010-05-07,,226
226028,TYERS R @ PUMP HOUSE,TYERS R @ PUMP HOUSE,0,,0,55,451503,5778560,UTM,-38.139388769999996,146.44658050000001,WGS84,9,0,1,N,Y,1,1990-04-12,,226
226041,LAKE WELLINGTON @ BULL BAY,LAKE WELLINGTON,0,AHD,0,55,532876,5780415,UTM,-38.123375199999998,147.37508059999999,WGS84,9,0,1,Y,N,1,1975-03-19,,226
226204,LATROBE RIVER @ WILLOW GROVE,LATROBE @ WILLOW GVE,0,ARB,580,55,426308,5784017,UTM,-38.088505519999998,146.1596572,WGS84,9,80,9,Y,Y,1,1924-10-23,,226
226205,LATROBE RIVER @ NOOJEE,LATROBE @ NOOJEE,0,ARB,290,55,414035,5804037,UTM,-37.90701017,146.02211879999999,WGS84,9,238,9,Y,N,1,1925-05-13,,226
226209,MOE RIVER @ DARNUM,MOE R @ DARNUM,79.597999999999999,AHD,225,55,412633,5770880,UTM,-38.205668150000001,146.0021236,WGS84,9,91,9,Y,Y,1,1949-09-12,,226
226216,TANJIL RIVER @ TANJIL SOUTH,TANJIL @TANJIL SOUTH,69.245000000000005,AHD,358,55,433560,5783395,UTM,-38.094673190000002,146.24229009999999,WGS84,9,81,9,Y,Y,1,1955-04-05,,226
226218,NARRACAN CREEK @ THORPDALE,NARRACAN @ THORPDALE,0,ARB,66,55,428843,5763687,UTM,-38.271916179999998,146.1865277,WGS84,9,224,1,Y,N,1,1955-06-22,,226
226220,LOCH RIVER @ NOOJEE,LOCH RIVER,0,ARB,106,55,412644,5808497,UTM,-37.866685539999999,146.00683792000001,WGS84,9,262,9,Y,N,1,1957-03-06,,226
226222,LATROBE RIVER @ NEAR NOOJEE (US ADA R JUNCT.),LATROBE U/S ADA R,272.30399999999997,AHD,62,55,402650,5806658,UTM,-37.882244300000004,145.89298529999999,WGS84,9,310,9,Y,Y,1,1971-05-10,,226
226224,LATROBE RIVER @ ROSEDALE (ANABRANCH),LATROBE @ ROSEDALE,9.6999999999999993,AHD,4144,55,481555,5777709,UTM,-38.148173569999997,146.7894905,WGS84,9,0,1,Y,N,1,1936-12-01,,226
226226,TANJIL RIVER @ TANJIL JUNCTION,TANJIL @ TANJIL JUNC,0,ARB,289,55,429155,5796100,UTM,-37.979842169999998,146.19331500000001,WGS84,9,200,9,Y,Y,1,1960-05-25,,226
226227,LATROBE RIVER @ KILMANY SOUTH,LATROBE @ KILMANY S.,2.5710000000000002,AHD,4464,55,492900,5778721,UTM,-38.139213470000001,146.91897879999999,WGS84,9,0,1,Y,Y,1,1976-12-16,,226
226228,LATROBE RIVER @ ROSEDALE (MAIN STREAM),LATROBE @ ROSEDALE,9.6999999999999993,AHD,4144,55,481748,5778351,UTM,-38.142391420000003,146.79170959999999,WGS84,9,0,1,Y,Y,1,1936-12-01,,226
226235,TYERS RIVER @ TYERS JUNCTION,TYERS R @ TYERS JUC,0,ARB,132.19999999999999,55,441506,5798197,UTM,-37.961823770000002,146.33411219999999,WGS84,9,0,0,Y,Y,1,2001-10-05,,226
226253,TRIGGER CREEK @ GIPPSLAND WATER SYPHON,TRIGGER CK GW SYPHON,,,,55,444493.06,5804752.8990000002,MGA94,-37.90305833,146.36861666999999,GDA94,,0,,y,N,1,2016-05-30,,226
226402,MOE DRAIN @ TRAFALGAR EAST,MOE @ TRAFALGAR,0,GAU,622,55,431070,5774351,UTM,-38.175989459999997,146.21302069999999,WGS84,9,57,9,Y,Y,1,1957-06-07,,226
226406,LITTLE MORWELL ROVER @ BOOLARRA,LTL MORWELL@BOOLARRA,,,,55,434351.51000000001,5751184.8559999997,,-38.384999999999998,146.24833333300001,,,0,,N,N,1,,,226
226407,MORWELL RIVER @ BOOLARRA,MORWELL @ BOOLARRA,98.302000000000007,AHD,114,55,439351,5748787,UTM,-38.406961559999999,146.30536609999999,WGS84,9,0,1,Y,N,1,1958-10-06,,226
226408,MORWELL R @ YALLOURN,MORWELL R YALLOURN,0,ARB,622,55,444702,5770110.4000000004,UTM,-38.215145999999997,146.36831799999999,WGS84,9,47,9,N,Y,1,1943-02-09,,226
226410,TRARALGON CREEK @ KOORNALLA,TRARALGON @ KOORNALL,0,ARB,89,55,459050,5758231,UTM,-38.322972180000001,146.5315258,WGS84,9,94,1,Y,N,1,1953-07-09,,226
226415,TRARALGON CREEK @ TRARALGON SOUTH (JONES RD),TRARALGON C JONES RD,60,AHD,128,55,459805,5764127,UTM,-38.269870900000001,146.54049810000001,WGS84,9,68,1,Y,N,1,1974-06-04,,226
226602,AREA 2 SITE1 @ DOWDS MORASS NTH,DOWDS MORASS AREA2,-0.016,AHD,0,55,516003.72999999998,5777730.3899999997,UTM,-38.148027419000002,147.18264738900001,WGS84,9,0,0,N,N,1,2003-06-17,,226
226605,LAKE VICTORIA @ MCLENNAN'S STRAIT,L VICTORIA MCLENNANS,0,AHD,0,55,540395.66299999994,5788012.2750000004,UTM,-38.054600000000001,147.46044000000001,WGS84,,0,,N,N,1,2010-11-17,,226
226606,LAKE VICTORIA @ LOCH SPORT,L VICTORIA LOCHSPORT,0,,0,55,551177,5789006,UTM,-38.045098670000002,147.58325210000001,GDA94,,0,,N,N,1,2010-11-26,,226
226607,MCMILLAN STRAIT @ PAYNESVILLE,MCMILLAN STRAIT PAYN,0,AHD,0,55,564019,5803744.2000000002,UTM,-37.911589999999997,147.72828999999999,GDA94,,0,,N,N,1,2010-10-21,,226
226608,LAKE KING @ METUNG,LK KING AT METUNG,0,AHD,0,55,576509,5807127.7999999998,MGA94,-37.880000000000003,147.87,WGS84,,0,,N,N,1,2010-11-17,,226
226609,CUNNINGHAM ARM @ BULLOCK ISLAND,C'GHAM @ BULLOCK ISL,-1,AHD,0,55,585591,5806582.2000000002,UTM,-37.884239999999998,147.97333,GDA94,,0,,N,N,1,2010-10-19,,226
226611,HEART MORASS @ RICKETY BRIDGE,HEART MORASS RICKETY,,,,55,515736.23999999999,5779439.2999999998,AMG84,-38.132630390000003,147.17955684500001,AGD84,9,0,,N,N,1,2017-02-21,,226
226814,RAIN GAUGE @ MT TASSIE,R.G. MT TASSIE,0,,0,55,461784,5750077,UTM,-38.396577200000003,146.56236010000001,WGS84,9,0,0,Y,N,1,1998-05-04,,226
226815,RAIN GAUGE (TRARALGON CK) @ TRARALGON - EPA YARD,R.G.TRARALGON,0,,0,55,458982,5772514,UTM,-38.194248279999996,146.531575,WGS84,9,0,0,Y,N,1,1999-05-25,,226
226818,RAIN GAUGE @ BALOOK,R.G. BALOOK,0,,0,55,459952,5746341,UTM,-38.430165619999997,146.54116819999999,WGS84,9,0,0,Y,N,1,1999-06-10,,226
226819,RAIN GAUGE @ CALIGNEE NORTH,R.G.CALIGNEE NTH,0,,0,55,462063,5758780,UTM,-38.318157139999997,146.5660235,WGS84,9,0,0,Y,N,1,1999-05-25,,226
226825,RAINGAUGE @ MOE SOUTH,RG AT MOE STH,,,,55,434231.70000000001,5769648.9000000004,AMG66,-38.218600000000002,146.24868000000001,AGD66,,0,,N,N,1,2009-10-06,,226
226826,RAINGAUGE @ YARRAGON SOUTH,RG AT YARRAGON SOUTH,,,,55,420511,5763367.0999999996,UTM,-38.274099999999997,146.09125,WGS84,,382,,N,N,1,2009-10-21,,226
226827,RAINGAUGE @ THORPDALE PEAK,RG AT THORPDALE PK,,,,55,431275,5760002.4000000004,AMG66,-38.305309999999999,146.21396999999999,AGD66,,364,,N,N,1,2009-09-17,,226
226829,RAINGAUGE @ JERRALANG DOBBINS ROAD,RG @ JERRALANG DOBBI,,,,55,450883.59999999998,5754699.5,MGA94,-38.354520520000001,146.43785575999999,GDA94,,510,,N,N,1,2013-01-29,,226
227200,TARRA RIVER @ YARRAM,TARRA @ YARRAM,0,ARB,218,55,472361.77100000001,5732988.9919999996,UTM,-38.550964,146.682818,WGS84,9,35,1,Y,Y,1,1946-03-01,,227
227202,TARWIN RIVER @ MEENIYAN,TARWIN @ MEENIYAN,0,ARB,1067,55,412165,5729150,UTM,-38.581646210000002,145.99156930000001,WGS84,9,25,9,Y,Y,1,1955-06-22,,227
227205,MERRIMAN CREEK @ CALIGNEE SOUTH,MERRIMAN @ CALLIGNEE,172.44800000000001,AHD,36,55,469833,5755048,UTM,-38.352085809999998,146.65474639999999,WGS84,9,200,1,Y,N,1,1946-12-06,,227
227210,BRUTHEN CREEK @ CARRAJUNG LOWER,BRUTHEN @ CARRAJUNG,0,AHD,18,55,477651,5750309,UTM,-38.395023950000002,146.74406999999999,WGS84,9,159,1,Y,N,1,1952-09-05,,227
227211,AGNES RIVER @ TOORA,AGNES @ TOORA,0,ARB,67,55,445387,5722973,UTM,-38.639974299999999,146.3724776,WGS84,9,142,9,Y,Y,1,1952-09-05,,227
227213,JACK RIVER @ JACK RIVER,JACK R @ JACK R,0,ARB,34,55,459739,5735728,UTM,-38.525798690000002,146.538118,WGS84,9,70,1,Y,N,1,1960-10-01,,227
227219,BASS RIVER @ LOCH,BASS @ LOCH,0,ARB,52,55,388609,5753722,UTM,-38.357612629999998,145.7250841,WGS84,9,98,9,Y,N,1,1966-04-01,,227
227225,TARRA RIVER @ FISCHERS,TARRA R @ FISCHERS,0,ARB,16,55,461190,5741983,UTM,-38.469494169999997,146.55511060000001,WGS84,9,195,1,Y,N,1,1968-04-24,,227
227226,TARWIN RIVER EAST BRANCH @ DUMBALK NORTH,TARWIN @ DUMBALK N.,0,ARB,127,55,426838,5738399,UTM,-38.499633019999997,146.1609799,WGS84,9,58,9,Y,N,1,1969-01-08,,227
227227,WILKUR CREEK @ LEONGATHA,WILKUR @ LEONGATHA,0,ARB,106,55,408948,5750056,UTM,-38.392946199999997,145.95735869999999,WGS84,9,75,9,Y,N,1,1970-07-30,,227
227231,BASS RIVER @ GLEN FORBES SOUTH,BASS @ GLEN FORBES S,0,ARB,233,55,370463,5741320,UTM,-38.466903010000003,145.51517029999999,WGS84,9,20,9,Y,Y,1,1973-03-30,,227
227232,LANCE CREEK U/S LANCE CREEK RESERVOIR,LANCE CK U/S L. RES.,0,,14,55,383783,5738738,UTM,-38.49200158,145.66738330000001,WGS84,9,0,1,N,Y,1,1974-08-05,,227
227236,POWLETT RIVER @ D/S FOSTER CREEK JUNCTION,POWLETT @ D/S FOSTER,0,ARB,228,55,387508,5731353,UTM,-38.559016849999999,145.70889779999999,WGS84,9,36,9,Y,Y,1,1979-05-18,,227
227237,FRANKLIN RIVER @ TOORA,FRANKLIN @ TOORA,0,ARB,75,55,439771,5724088,UTM,-38.629562870000001,146.30804860000001,WGS84,9,64,9,Y,Y,1,1979-06-08,,227
227239,MERRIMAN CREEK @ STRADBROKE WEST,MERRIMAN @ STRADBROK,71.867999999999995,AHD,256,55,492658,5764652,UTM,-38.266009050000001,146.9160718,WGS84,9,93,1,Y,N,1,1983-11-18,,227
227242,MERRIMAN CREEK @ SEASPRAY TOWNSHIP,MERRIMAN @ SEASPRAY,0,AHD,8,55,516203,5752529,UTM,-38.37514934,147.18549820000001,WGS84,9,4,1,Y,N,1,1984-05-11,,227
227244,DEEP CREEK @ FOSTER,DEEP CK @ FOSTER,0,ARB,0,55,432312,5725707,UTM,-38.614435780000001,146.22251901000001,WGS84,9,0,1,Y,N,1,1993-04-29,,227
